iter	Passed	Remaining
308	296	664
309	298	663
310	299	662
311	300	661
312	301	661
313	303	662
314	305	663
315	307	666
316	309	666
317	309	664
318	310	663
319	311	661
320	312	660
321	313	659
322	314	658
323	314	657
324	316	657
325	318	658
326	320	659
327	322	660
328	324	661
329	324	659
330	325	658
331	326	656
332	327	655
333	328	654
334	329	653
335	331	655
336	333	656
337	336	658
338	338	659
339	338	658
340	339	656
341	340	655
342	341	653
343	342	653
344	343	652
345	345	653
346	348	655
347	349	655
348	351	655
349	352	654
350	352	652
351	353	651
352	354	650
353	355	649
354	356	648
355	357	646
356	358	644
357	361	647
358	363	648
359	364	648
360	365	647
361	367	647
362	367	645
363	368	644
364	369	642
365	370	641
366	371	640
367	371	638
368	372	637
369	375	640
370	377	640
371	379	641
372	380	640
373	381	639
374	382	638
375	383	636
376	384	635
377	385	634
378	386	632
379	386	631
380	387	630
381	390	632
382	392	632
383	394	632
384	395	631
385	396	631
386	397	629
387	398	628
388	399	627
389	400	626
390	400	624
391	403	626
392	406	627
393	408	627
394	409	626
395	410	625
396	411	624
397	411	622
398	412	621
399	413	620
400	414	618
401	415	617
402	416	617
403	419	619
404	421	618
405	422	618
406	423	617
407	424	616
408	425	614
409	426	613
410	427	612
411	428	611
412	428	609
413	429	608
414	431	608
415	434	609
416	436	609
417	437	608
418	438	607
419	439	606
420	439	605
421	440	603
422	441	601
423	441	600
424	442	598
425	443	597
426	443	595
427	447	598
428	449	597
429	451	597
430	452	596
431	453	595
432	453	594
433	454	592
434	455	591
435	456	590
436	457	588
437	457	587
438	458	585
439	462	588
440	464	588
441	466	588
442	467	587
443	468	586
444	469	585
445	470	584
446	471	582
447	472	581
448	472	580
449	477	583
450	479	583
451	481	583
452	481	581
453	482	580
454	483	578
455	484	577
456	485	576
457	486	575
458	487	574
459	489	574
460	495	579
461	498	580
462	499	578
463	500	577
464	501	576
465	501	575
466	502	573
467	503	571
468	506	573
469	508	573
470	510	573
471	511	572
472	512	571
473	513	569
474	514	568
475	514	566
476	515	565
477	516	564
478	517	562
479	519	562
480	522	563
481	523	563
482	525	562
483	526	561
484	527	560
485	528	558
486	529	557
487	529	555
488	530	554
489	531	553
490	532	551
491	535	553
492	537	552
493	539	552
494	540	551
495	541	549
496	542	548
497	542	547
498	543	545
499	544	544
500	545	543
501	546	542
502	548	542
503	550	541
504	552	541
505	554	540
506	555	539
507	555	538
508	556	537
509	557	535
510	558	534
511	559	533
512	560	531
513	561	530
514	564	531
515	566	531
516	568	530
517	569	529
518	570	528
519	571	527
520	571	525
521	572	524
522	573	523
523	574	521
524	574	520
525	577	520
526	579	520
527	580	519
528	582	518
529	583	517
530	584	515
531	584	514
532	585	513
533	586	511
534	586	510
535	587	508
536	588	507
537	589	505
538	591	505
539	593	505
540	595	505
541	596	504
542	597	502
543	598	501
544	598	499
545	599	498
546	600	497
547	601	496
548	602	494
549	602	493
550	603	491
551	606	492
552	608	491
553	609	491
554	611	490
555	612	489
556	613	487
557	614	486
558	615	485
559	615	483
560	616	482
561	617	481
562	618	480
563	622	481
564	624	481
565	626	480
566	627	479
567	628	478
568	629	476
569	630	475
570	631	474
571	632	473
572	636	474
573	638	473
574	640	473
575	641	472
576	642	470
577	643	469
578	643	468
579	644	466
580	645	465
581	646	464
582	647	462
583	651	463
584	652	463
585	654	462
586	655	461
587	656	460
588	657	458
589	658	457
590	658	456
591	659	454
592	660	453
593	661	452
594	666	453
595	667	452
596	670	452
597	671	451
598	672	449
599	672	448
600	673	447
601	674	446
602	675	444
603	676	443
604	679	443
605	682	443
606	684	443
607	686	442
608	687	441
609	688	440
610	689	438
611	690	437
612	691	436
613	694	436
614	696	436
615	700	436
616	702	435
617	703	434
618	703	433
619	704	432
620	708	432
621	709	431
622	711	430
623	712	429
624	713	427
625	714	426
626	714	425
627	715	424
628	718	423
629	722	424
630	724	423
631	725	422
632	726	421
633	727	419
634	728	418
635	728	417
636	729	415
637	730	414
638	731	413
639	731	411
640	732	410
641	733	409
642	734	407
643	737	407
644	738	406
645	740	405
646	742	404
647	743	403
648	744	402
649	745	401
650	746	400
651	748	399
652	753	400
653	755	399
654	756	398
655	757	397
656	758	395
657	759	394
658	761	394
659	762	393
660	764	392
661	767	391
662	770	391
663	773	391
664	774	390
665	775	388
666	776	387
667	777	386
668	779	385
669	781	385
670	783	384
671	784	382
672	785	381
673	786	380
674	787	379
675	788	377
676	790	376
677	791	376
678	795	375
679	796	374
680	798	373
681	799	372
682	799	371
683	800	370
684	802	369
685	804	368
686	805	366
687	807	366
688	811	366
689	812	365
690	814	364
691	815	362
692	817	362
693	819	361
694	820	359
695	825	360
696	827	359
697	829	359
698	831	357
699	832	356
700	833	355
701	835	354
702	839	354
703	842	354
704	845	353
705	847	352
706	849	351
707	853	351
708	856	351
709	857	350
710	858	349
711	859	347
712	861	346
713	866	346
714	868	346
715	869	344
716	870	343
717	871	342
718	872	341
719	873	339
720	874	338
721	875	336
722	876	335
723	879	335
724	881	334
725	884	333
726	885	332
727	887	331
728	888	330
729	888	328
730	889	327
731	890	325
732	894	325
733	899	325
734	900	324
735	901	323
736	902	322
737	903	320
738	904	319
739	905	318
740	909	317
741	913	317
742	914	316
743	915	315
744	916	313
745	917	312
746	918	311
747	919	309
748	922	309
749	925	308
750	927	307
751	929	306
752	930	305
753	931	303
754	931	302
755	932	301
756	933	299
757	936	299
758	939	298
759	942	297
760	943	296
761	944	295
762	945	293
763	946	292
764	947	290
765	947	289
766	951	289
767	953	288
768	955	287
769	956	285
770	957	284
771	958	282
772	958	281
773	959	280
774	960	278
775	961	277
776	961	276
777	962	274
778	967	274
779	968	273
780	970	272
781	971	270
782	972	269
783	973	268
784	974	266
785	974	265
786	976	264
787	977	262
788	979	262
789	982	261
790	983	259
791	984	258
792	985	257
793	986	255
794	986	254
795	987	253
796	988	251
797	989	250
798	990	249
799	990	247
800	991	246
801	992	245
802	996	244
803	998	243
804	999	242
805	1000	240
806	1001	239
807	1002	238
808	1003	236
809	1004	235
810	1004	234
811	1005	232
812	1006	231
813	1006	230
814	1010	229
815	1011	228
816	1013	226
817	1014	225
818	1015	224
819	1016	223
820	1016	221
821	1017	220
822	1018	219
823	1019	217
824	1020	216
825	1021	215
826	1023	214
827	1025	213
828	1027	211
829	1028	210
830	1029	209
831	1030	208
832	1031	206
833	1032	205
834	1033	204
835	1034	202
836	1035	201
837	1035	200
838	1036	198
839	1038	197
840	1040	196
841	1041	195
842	1042	194
843	1043	192
844	1044	191
845	1045	190
846	1045	188
847	1046	187
848	1047	186
849	1048	184
850	1048	183
851	1049	182
852	1050	180
853	1051	179
854	1053	178
855	1053	177
856	1054	175
857	1055	174
858	1056	173
859	1056	172
860	1057	170
861	1058	169
862	1058	168
863	1059	166
864	1060	165
865	1061	164
866	1061	162
867	1062	161
868	1063	160
869	1063	158
870	1064	157
871	1065	156
872	1066	155
873	1068	154
874	1069	152
875	1070	151
876	1070	150
877	1071	148
878	1072	147
879	1072	146
880	1073	144
881	1074	143
882	1074	142
883	1075	141
884	1075	139
885	1076	138
886	1077	137
887	1077	135
888	1078	134
889	1079	133
890	1079	132
891	1081	130
892	1082	129
893	1082	128
894	1083	127
895	1084	125
896	1084	124
897	1085	123
898	1086	122
899	1087	120
900	1087	119
901	1088	118
902	1089	117
903	1089	115
904	1090	114
905	1091	113
906	1092	111
907	1092	110
908	1093	109
909	1094	108
910	1095	107
911	1096	105
912	1097	104
913	1098	103
914	1098	102
915	1099	100
916	1100	99
917	1101	98
918	1101	97
919	1102	95
920	1103	94
921	1103	93
922	1104	92
923	1105	90
924	1105	89
925	1106	88
926	1107	87
927	1108	85
928	1108	84
929	1109	83
930	1110	82
931	1111	81
932	1112	79
933	1112	78
934	1113	77
935	1114	76
936	1115	74
937	1116	73
938	1116	72
939	1117	71
940	1118	70
941	1118	68
942	1119	67
943	1120	66
944	1120	65
945	1121	64
946	1122	62
947	1122	61
948	1123	60
949	1124	59
950	1125	57
951	1126	56
952	1126	55
953	1127	54
954	1128	53
955	1128	51
956	1129	50
957	1130	49
958	1130	48
959	1131	47
960	1132	45
961	1132	44
962	1133	43
963	1134	42
964	1135	41
965	1135	39
966	1136	38
967	1136	37
968	1137	36
969	1138	35
970	1138	34
971	1139	32
972	1141	31
973	1142	30
974	1142	29
975	1143	28
976	1144	26
977	1144	25
978	1145	24
979	1146	23
980	1147	22
981	1147	21
982	1148	19
983	1149	18
984	1149	17
985	1150	16
986	1151	15
987	1151	13
988	1152	12
989	1153	11
990	1153	10
991	1154	9
992	1155	8
993	1156	6
994	1157	5
995	1157	4
996	1158	3
997	1159	2
998	1159	1
999	1160	0
